X1	X2	cLine_ID	Aliases	RRID.CVCLE	MSI	Tissue	Subtissue	Histology	Subhistology	Gender	Age	Ethnicity	Grade_Stage	Source	COSMIC_ID	COSMIC_membership	ArrayID_CCLE	CCLE_membership	NCI60_membership	X	X.1	X.2	X.3	X.4	X.5	X.6	FID	sp	p	gender	id	cluster.infomap	cluster.walktrap	Q1	Q2	Q3	Q4	Q5	Q6	Q7
251	4.40754660816772	9.41843187838295	8-MG-BA	8MGBA	_1052	MSI-S	CNS	Brain	Glioma	Astrocytoma Grade IV	Female	54	African American	NA	Primary	687562	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	8-MG-BA	1	9	0.331867	0.000957	1e-05	0.025278	0.022865	0.619013	1e-05
245	3.03038439038708	10.0331360056191	22Rv1	22RV1	_1045	MSI-H	Prostate	NA	Carcinoma	Adenocarcinoma	Male	NA	NA	NA	Primary	924100	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	22Rv1	1	9	0.306245	0.002324	1e-05	0.00517	0.002725	0.674582	0.008944
891	1.98230498839266	-3.01481441498638	42-MG-BA	42MGBA	_1798	MSI-S	CNS	Brain	Glioma	Astrocytoma Grade IV	Male	63	NA	NA	NA	687561	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E05_293384	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	42-MG-BA	1	9	0.318954	1e-05	1e-05	0.048757	1e-05	0.632205	5.4e-05
1017	5.77353160524132	2.04678074758673	59M		_2291	NA	Ovary	NA	Carcinoma	NA	Female	65	NA	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F10_578312	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	59M	1	9	0.339103	1e-05	1e-05	0.041761	1e-05	0.587073	0.032033
1016	19.2230225811109	1.56886922168072	143B		_2270	NA	Bone	NA	Osteosarcoma	NA	Female	13	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D02_464552	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	143B	14	2	0.589814	1e-05	0.040158	1e-05	0.369989	1e-05	1e-05
1387	16.8656770226656	-28.5021973590547	201T		_X481	MSI-L	Lung	NA	Carcinoma	Adenocarcinoma	NA	NA	NA	NA	Primary	1287381	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	201T	18	4	0.055498	1e-05	1e-05	0.025811	1e-05	0.030603	0.888057
1294	-3.92201177913769	3.07063655970963	451Lu		_6357	MSI-S	Skin	NA	Malignant melanoma	NA	Male	22	NA	NA	NA	1287706	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	451Lu	1	9	0.296094	0.013215	0.009817	0.000628	0.007014	0.673222	1e-05
247	4.38319043395513	6.30478775063443	639V	639-V	_1048	MSI-S	Urinary tract	Ureter	Carcinoma	Transitional cell carcinoma	Male	69	White	S_III	Primary	906798	Y	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F05_698718	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	639V	1	9	0.246222	1e-05	0.006022	1e-05	1e-05	0.747716	1e-05
248	8.00975151805912	5.70394168192369	647V	647-V	_1049	MSI-S	Urinary tract	Bladder	Carcinoma	Transitional cell carcinoma	Male	NA	NA	S_II	Primary	906797	Y	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F05_542896	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	647V	1	9	0.325212	1e-05	1e-05	0.019456	1e-05	0.640074	0.015228
46	6.01721161243484	11.2402120565782	697		_0079	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic B cell leukaemia	Male	12	NA	NA	Recurrent	906800	Y	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	697	1	9	0.330153	0.005545	1e-05	1e-05	1e-05	0.658658	0.005614
249	2.2381668374328	2.57391835252581	769P	769-P	_1050	MSI-L	Kidney	NA	Carcinoma	Clear cell renal cell carcinoma	Female	63	Caucasian	NA	Primary	910922	Y	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	769P	1	9	0.269963	1e-05	1e-05	0.034535	1e-05	0.682297	0.013175
250	6.78945786813244	8.26247609140808	786-O	786O	_1051	MSI-S	Kidney	NA	Carcinoma	Clear cell renal cell carcinoma	Male	58	Caucasian	NA	Primary	905947	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120	Y	Y	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	786-O	1	9	0.291227	1e-05	1e-05	0.043566	1e-05	0.657463	0.007714
60	-6.51992612529575	14.82285362648	1321N1		_0110	NA	CNS	Brain	Glioma	Astrocytoma	Male	47	Caucasian	NA	NA	NA	NA	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E09_293392	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	1321N1	1	9	0.008142	1e-05	1e-05	0.016198	1e-05	0.965022	0.010608
61	-6.80957534361609	-15.0457705795272	5637		_0126	MSI-S	Urinary tract	Bladder	Carcinoma	NA	Male	68	Caucasian	S_II	Primary	687452	Y	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	5637	9	5	0.118905	0.004491	0.403095	0.114794	0.003458	0.049656	0.305602
252	-20.8351008209811	0.966866590215497	8305C		_1053	MSI-S	Thyroid	NA	Carcinoma	Anaplastic carcinoma	Female	67	NA	NA	Primary	906795	Y	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B05_698562	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	8305C	2	12	0.000891	0.010375	0.240882	0.747822	1e-05	1e-05	1e-05
253	-24.3943181354994	2.87898951031996	8505C		_1054	MSI-S	Thyroid	NA	Carcinoma	Anaplastic carcinoma	Female	78	NA	NA	Primary	924102	Y	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E06_464702	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	8505C	2	12	0.028032	1e-05	0.118297	0.847888	1e-05	1e-05	0.005752
246	11.6236781674326	4.16864973235664	23132/87	23132-87	_1046	MSI-H	Stomach	NA	Carcinoma	Adenocarcinoma	Male	72	NA	NA	Primary	910924	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	23132/87	25	9	0.399795	0.003492	1e-05	0.017528	1e-05	0.544979	0.034186
62	3.07002157624319	12.3040398690472	A-172	A172	_0131	MSI-S	CNS	Brain	Glioma	Astrocytoma Grade IV	Male	53	NA	NA	Primary	687563	Y	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-172	1	9	0.27769	1e-05	1e-05	0.020457	0.012067	0.689756	1e-05
257	2.58150051461157	6.82415340586192	A-204	A204	_1058	MSI-S	Soft tissue	Striated muscle	Rhabdomyosarcoma	NA	Female	1	NA	NA	Primary	910784	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-204	1	9	0.2782	0.002002	1e-05	0.003544	0.008273	0.707962	1e-05
259	4.64620179398525	7.97676175047016	A-253	A253	_1060	MSI-S	Salivary gland	Submaxillary	Carcinoma	Mucoepidermoid carcinoma	Male	54	Caucasian	NA	Primary	906794	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-253	1	9	0.353867	1e-05	1e-05	0.018139	1e-05	0.618234	0.00973
63	3.46901402431142	-1.53823545018622	A-375	A375	_0132	MSI-S	Skin	NA	Malignant melanoma	NA	Female	54	NA	NA	Primary	906793	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-375	1	9	0.297484	0.004923	1e-05	0.016898	1e-05	0.672249	0.008425
261	-1.31037039092327	-0.606810904297889	A-388	A388	_1063	MSI-S	Skin	NA	Carcinoma	Squamous cell carinoma	Male	86	NA	NA	Metastasis 	910697	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-388	1	9	0.410265	0.00319	1e-05	0.038406	1e-05	0.50756	0.040559
254	-1.63777667030613	13.3379926985835	A-427	A427	_1055	MSI-S	Lung	NA	Carcinoma	NA	Male	52	Caucasian	NA	Primary	910851	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-427	1	9	0.244313	0.004044	0.002835	0.013073	0.015906	0.719819	1e-05
30	19.038556977782	-7.23642562872873	A-431	A431	_0037	MSI-S	Skin	NA	Squamous cell carcinoma	NA	Female	85	NA	NA	Primary	910925	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-431	24	2	0.651561	1.2e-05	1e-05	0.078382	0.060326	0.1715	0.038209
255	6.23953659140468	12.9358357983945	A-498	A498	_1056	MSI-S	Kidney	NA	Carcinoma	Renal cell carcinoma	Female	52	NA	NA	Primary	905948	Y	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284	Y	Y	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-498	1	9	0.34062	1e-05	1e-05	0.020969	1e-05	0.634675	0.003707
17	5.46322836147593	11.9580175409441	A-549	A549	_0023	MSI-S	Lung	NA	Carcinoma	Non small cell carcinoma	Male	58	Caucasian	NA	Primary	905949	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	Y	Y	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-549	1	9	0.331582	1e-05	1e-05	0.007186	1e-05	0.661192	1e-05
47	3.93889287824206	10.4285143573561	A-673	A673	_0080	MSI-S	Bone	NA	Ewings sarcoma-peripheral primitive neuroectodermal tumour	NA	Female	15	NA	NA	Primary	684052	Y	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-673	1	9	0.285727	1e-05	1e-05	0.017727	1e-05	0.691136	0.00538
263	23.3503969618268	-23.5502941506044	A-704	A704	_1065	MSI-L	Kidney	NA	Carcinoma	Renal cell carcinoma	Male	78	NA	NA	Primary	910920	Y	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-704	7	4	0.201285	1e-05	1e-05	0.062641	1e-05	0.025305	0.710738
1312	5.20364003675523	1.5777136989044	A-1207	A1207	_8481	NA	CNS	Brain	Glioma	NA	NA	NA	NA	NA	NA	NA	NA	KELLY_p_CCLE_AffySNP_Oct2012_01_GenomeWideSNP_6_A09_1217544	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A-1207	1	9	0.328135	1e-05	1e-05	0.032899	1e-05	0.63516	0.003775
260	-21.8129799599794	-2.5657728371208	A3/Kawakami	A3-KAW; A3KAW	_1062	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Diffuse large B cell lymphoma	Female	68	Japanese	NA	Metastasis 	910935	Y	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A3/Kawakami	2	12	1e-05	1e-05	0.205445	0.790226	1e-05	0.004288	1e-05
262	-25.7672508923131	0.604958378083687	A4/Fukuda	A4-Fuk; A4FUK	_1064	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Diffuse large B cell lymphoma	Female	52	Japanese	NA	Metastasis 	910934	Y	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A4/Fukuda	2	12	1e-05	1e-05	0.242343	0.757607	1e-05	1e-05	1e-05
256	11.6432912918557	0.401084949374076	A101D		_1057	MSI-S	Skin	NA	Malignant melanoma	NA	Male	56	Caucasian	NA	Primary	910921	Y	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A101D	1	9	0.272091	1e-05	1e-05	0.009898	0.005192	0.712789	1e-05
258	0.440452504826506	0.654560427331786	A2058		_1059	MSI-S	Skin	NA	Malignant melanoma	NA	Male	43	Caucasian	NA	Metastasis 	906792	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A2058	1	9	0.268411	0.004489	1e-05	0.005123	0.004944	0.717013	1e-05
64	15.7146607774557	-27.1387310274505	A2780		_0134	MSI-L	Ovary	NA	Carcinoma	Adenocarcinoma	Female	NA	NA	NA	Primary	906804	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	A2780	18	4	0.04165	1e-05	1e-05	0.027555	1e-05	1e-05	0.930755
264	-24.5696417426532	4.23189152451075	ABC-1	ABC1	_1066	MSI-S	Lung	NA	Carcinoma	Adenocarcinoma	Male	47	NA	NA	Primary	906791	Y	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ABC-1	2	12	0.010861	0.009167	0.186769	0.786028	1e-05	1e-05	0.007155
1265	-21.1660054265646	6.04998619350669	ACC-MESO-1	ACCMESO1	_5113	NA	Pleura	NA	Mesothelioma	NA	Female	61	Japanese	NA	NA	NA	NA	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G01_592656	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ACC-MESO-1	2	12	0.008498	0.006378	0.116978	0.848297	1e-05	1e-05	0.019829
265	-3.6678368055328	12.5067902866564	ACHN		_1067	MSI-S	Kidney	NA	Carcinoma	Renal cell carcinoma	Male 	22	Caucasian	NA	Primary	905950	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310	Y	Y	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ACHN	1	9	0.253414	1e-05	0.015198	0.008266	0.017789	0.705313	1e-05
